trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
677,False,"{'a': 0.02, 'e': 0.5623019861866783}",25,2,-2.973876493943574,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
678,False,"{'a': 0.02, 'e': 0.5456519927727256}",25,10,-37.534665985172346,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
679,False,"{'a': 0.02, 'e': 0.5287837458369267}",30,3,-56.484574145737454,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 0}",1
680,False,"{'a': 0.02, 'e': 0.511703992453149}",20,10,-13.379159067229129,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
681,False,"{'a': 0.02, 'e': 0.4944195642950175}",25,16,16.44419473455163,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.02, 'e': 0.4769373749033424}",25,17,10.359156397849512,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.02, 'e': 0.45926441692078623}",25,9,16.629728487930365,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
684,False,"{'a': 0.02, 'e': 0.44140775929490567}",25,15,-18.12228850441165,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
685,False,"{'a': 0.02, 'e': 0.42337454445066386}",20,10,5.198847020180752,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
686,False,"{'a': 0.02, 'e': 0.40517198543356203}",30,8,-12.240435500729594,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
687,False,"{'a': 0.02, 'e': 0.3868073630245079}",20,15,3.2861195351094077,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.02, 'e': 0.36828802282760675}",25,13,-32.757200921786094,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
689,False,"{'a': 0.02, 'e': 0.34962137233201435}",25,12,8.192287451641281,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
690,False,"{'a': 0.02, 'e': 0.33081487794904696}",20,10,17.085064839035667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.02, 'e': 0.3118760620257062}",20,0,-5.057882445696158,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
692,False,"{'a': 0.02, 'e': 0.2928124998358472}",30,19,20.370655663956157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.02, 'e': 0.2736318165501685}",25,9,5.406593084935994,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
694,False,"{'a': 0.02, 'e': 0.25434168418624353}",20,6,-21.163071979580394,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
695,False,"{'a': 0.02, 'e': 0.23494981853982308}",20,12,15.86212826870257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.02, 'e': 0.21546397609860915}",20,9,5.839085043383205,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
697,False,"{'a': 0.02, 'e': 0.1958919509397705}",20,14,4.461650926202327,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.02, 'e': 0.17624157161241205}",25,12,28.85609815329341,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.02, 'e': 0.15652069800626667}",25,13,4.116376110513965,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
700,False,"{'a': 0.02, 'e': 0.1367372182078336}",20,16,8.558877256856839,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.02, 'e': 0.116899045345256}",25,0,40.708236302323236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
702,False,"{'a': 0.02, 'e': 0.09701411442317168}",25,16,3.4981767540721833,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.02, 'e': 0.07709037914882415}",30,13,37.17923204126374,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.02, 'e': 0.057135808750675095}",20,6,27.808883980944984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.02, 'e': 0.03715838479082641}",25,17,14.042526035379682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.02, 'e': 0.017166097972498132}",30,12,30.56033499021104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.02, 'e': 0.0028330550561391095}",20,4,24.52603031289756,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.02, 'e': 0.02283107490052746}",20,13,9.85004309491556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.02, 'e': 0.042819962619365874}",25,13,25.27588857443484,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.02, 'e': 0.06279172292408354}",25,13,22.5043845445727,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
